,Id,Name,State,Top Category,Creator,Location,Goal,Pledged,Backers,Duration in Days,Facebook Connected,Facebook Friends,Facebook Shares,Creator - # Projects Created,Creator - # Projects Backed,Latitude,Longitude,region
0,1007121454,Nail Art and Photos Printed on your Nails w/ Embellishments,failed,Art,Dodie Egolf,Puyallup,20000,6,2,30,Yes,272.0,70,1,0.0,47.1803951263,-122.25290298459998,Washington
1,2032015036,Cold Again,failed,Film & Video,James Jacobs,Boston,3000,180,5,33,Yes,573.0,57,1,4.0,42.3323383331,-71.04561996460001,Massachusetts
2,733782855,Uchu Bijin Jewelry,failed,Fashion,Uchu Bijin,New York,5000,1941,62,30,No,,158,2,2.0,40.706577300999996,-73.8823738098,New York
3,514687871,"Poetically Speaking: Stories of Love, Triumph and Struggle",failed,Publishing,Tylicee Mysreign,Detroit,5000,130,5,60,Yes,1285.0,2,1,2.0,42.3546390533,-83.1028404236,Michigan
5,744715370,One in the Chamber,failed,Film & Video,Calvin Walker,Dallas,90000,836,16,40,Yes,1566.0,142,2,1.0,32.832572936999995,-96.79934692379999,Texas
8,488363169,The Leaf Game - A Photography Book and Archival Prints,failed,Photography,Ted Roe,Kailua Kona,30000,4293,38,36,Yes,1284.0,1202,1,13.0,19.7270593643,-155.9408950806,Hawaii
10,733791366,"Are You ""Dedicated""",failed,Publishing,Andrew L. Case,Brooklyn,1000,225,5,31,Yes,537.0,6,1,1.0,40.6455001831,-73.9613761902,New York
11,1112480909,Rowen - Student Short Film,successful,Film & Video,Josh Rubenstein,Madison,1500,2411,29,30,Yes,1499.0,185,1,0.0,40.756937027,-74.4202156067,New Jersey
12,404303033,Have fun while collecting your important receipts,failed,Technology,Olivier Dehousse,New York,40000,1,1,45,No,,0,2,0.0,40.706577300999996,-73.8823738098,New York
13,322774348,N-1 For the Moon and Mars: The Soviet Superbooster,successful,Publishing,Jack Hagerty,Livermore,12000,15253,214,28,Yes,366.0,258,1,0.0,37.689281463600004,-121.7353820801,California
17,349631345,THE TRAVELERS,successful,Art,Sam Tower,Philadelphia,3500,3616,62,26,Yes,1263.0,166,1,7.0,40.0138053894,-75.1232452393,Pennsylvania
18,1812167673,Scenicalendar :: A Create-Your-Holiday-Scene Calendar,failed,Design,Scenicalendar,Los Angeles,3000,422,9,9,Yes,410.0,1,2,0.0,34.018239975,-118.39637756350001,California
19,1327423895,Streets To Call Our Own,successful,Film & Video,Kara Lieff,Philadelphia,1839,1910,57,30,Yes,428.0,368,1,1.0,40.0138053894,-75.1232452393,Pennsylvania
20,1340872027,The End,failed,Film & Video,Third Place Productions,Atlanta,30000,2827,38,30,No,,454,1,3.0,33.813949585,-84.41580963130001,Georgia
21,515703422,Poppin Tags Apparel Line,failed,Fashion,Serena Harris Owens,Kansas City,2000,200,2,30,No,,9,1,1.0,39.075366973899996,-94.5754852295,Missouri
22,771045461,Sweets on the Streets,failed,Food,Coni Brigner,Dayton,15000,3356,28,30,Yes,36.0,96,1,1.0,39.7540378571,-84.1778907776,Ohio
23,1103511169,BingoBo: Build your Private Web™,failed,Technology,Danmark Clara,Los Angeles,5000,62,7,46,No,,13,2,4.0,34.018239975,-118.39637756350001,California
24,731316492,Winter is Here!  Game Of Thrones Photo Sticker iPhone App!!,failed,Technology,Brian Ma,San Francisco,2381,3,1,14,Yes,540.0,2,1,0.0,37.7776432037,-122.4472618103,California
26,1244406140,Customized Fishing Weights(Sinkers),failed,Design,Matthew Queen,Fredericktown,33546,75,2,45,Yes,32.0,0,2,0.0,37.5648803711,-90.31530761719999,Missouri
27,1144326745,Apple - Chore Commissioner,failed,Technology,Jordan Gerber,Billings Heights,900,34,6,20,Yes,232.0,5,4,1.0,45.8225097656,-108.4641609192,Montana
28,2147422304,"Bike Thief's Debut Album ""Blessed Are the Sleepy Ones""",successful,Music,Bike Thief,Portland,7000,7149,114,42,Yes,801.0,0,2,0.0,45.538421630900004,-122.666431427,Oregon
30,1409505461,Old Virginia Smoke Competition Barbecue and Catering,successful,Food,Leigh Anne Terry,Bristow,5000,5187,48,59,Yes,113.0,24,1,0.0,38.7265796661,-77.5516738892,Virginia
32,2041411290,Fancy Dog,failed,Design,Fancy Dog,Seattle,17000,891,21,30,Yes,772.0,163,1,0.0,47.6120109558,-122.30503845209999,Washington
34,1366089022,"Meet Vigo, the very first energy gauge - for you.",successful,Technology,Jason Gui,San Francisco,50000,57365,635,47,Yes,1887.0,11,1,11.0,37.7776432037,-122.4472618103,California
35,1424124060,PixStylus - Pen and Stylus Combo,failed,Design,Jay Foght,Waunakee,12000,510,25,35,No,,47,1,6.0,43.2009925842,-89.4579353333,Wisconsin
36,1903326183,XRAY.FM - The little station with big ideas.,successful,Publishing,XRAY.FM,Portland,40000,103762,1148,32,No,,6109,1,0.0,45.538421630900004,-122.666431427,Oregon
37,928297704,"Kammok Thylacine: One Sleeping Bag, Endless Options",successful,Design,The KAMMOK Team,Austin,60000,118545,555,50,Yes,881.0,327,4,3.0,30.326808929400002,-97.7589683533,Texas
39,405409338,Quin - 3D Printer Fashion Doll! Toy / Inventing Platform,failed,Design,3DKitbash.com,Cincinnati,10000,6051,104,35,Yes,717.0,170,9,3.0,39.1339111328,-84.5389060974,Kentucky
40,2067919733,Octofire 8 Port (16.8 Amps/ 84W) Turbo Smart USB Charger,successful,Technology,Skiva Technologies,Irving,20000,96479,1379,30,No,,400,2,0.0,32.8500423431,-96.96529006959999,Texas
41,1325069556,Bigo Bag Five: It’s not just a bag - 5 functions in 1 bag,failed,Design,Bigo Brand,Mebane,30000,2072,25,34,Yes,255.0,846,1,0.0,36.1071929932,-79.2663116455,North Carolina
42,846779129,GOOD LUCK,failed,Film & Video,Grand Scale Entertainment Company,Los Angeles,20000,10921,20,60,No,,4,1,0.0,34.018239975,-118.39637756350001,California
43,417680555,Warage: An exciting Roleplaying Card Game with Deck Building,successful,Games,Gryphon and Eagle Games,Phoenix,10000,15799,363,28,No,,499,27,28.0,33.583984375,-112.1066093445,Arizona
44,548718850,NAMI: A short film,successful,Film & Video,masami,Los Angeles,7000,10397,144,30,No,,531,1,8.0,34.018239975,-118.39637756350001,California
45,654715653,"Brazenbot Robot for Hobby, Education and Research",failed,Technology,William S Lehman,Leonardtown,8500,603,12,30,No,,22,1,0.0,38.2887935638,-76.6272392273,Maryland
46,1027538957,Groovebox Studios Presents Nathan Kalish,successful,Music,GBS Detroit,Detroit,1200,1286,51,26,No,,243,111,5.0,42.3546390533,-83.1028404236,Michigan
48,7536631,Castle Defenders,failed,Games,Kirill Shilov,Palo Alto,12000,10,1,25,Yes,805.0,1,2,0.0,37.4288520813,-122.1566390991,California
49,885084080,"Metal Playing Cards, Stainless Steel & Copper + Bicycle deck",successful,Games,Jeff,Salt Lake City,30000,50435,558,30,Yes,142.0,109,2,16.0,40.7298851013,-111.8337440491,Utah
50,1458626201,"""BROOKLYN illustrated MAP "" 24"" x 36"" by Aaron Meshon",successful,Art,Aaron Meshon,Brooklyn,2500,5003,149,34,No,,363,1,4.0,40.6455001831,-73.9613761902,New York
51,472702305,MARFA Repetición ! The Blackwell School Dec 27-Jan 4,successful,Art,Lisa Bateman,Marfa,1600,1606,26,31,No,,12,1,1.0,30.3158636093,-104.0408706665,Texas
52,1516612857,Mission Brew Coffee,failed,Food,"Kevin Wise, Joshua Moffit, Jeremy Moffit",San Diego,20000,12692,84,41,Yes,349.0,783,1,2.0,32.8054790497,-117.1129264832,California
53,893269563,Lace & Lead's First Album!,successful,Music,Lace & Lead,Portland,5000,8069,166,45,Yes,382.0,88,1,0.0,45.538421630900004,-122.666431427,Oregon
55,2031322665,MERCY: her journey through madness,successful,Film & Video,INNER DRIVE PRODUCTIONS,Los Angeles,600,2897,59,9,Yes,320.0,153,1,1.0,34.018239975,-118.39637756350001,California
56,1818499873,"Tumbleweeds, presented by Hungry River Theatre Co.",successful,Theater,Hungry River,Ridgecrest,5000,5053,54,57,Yes,777.0,54,3,0.0,35.606698989899996,-117.695148468,California
58,264012656,Own Your Own Hive from Anywhere and get ALL the Honey!,failed,Food,Allen Larson,San Francisco,11500,2680,37,53,Yes,60.0,5,3,5.0,37.7776432037,-122.4472618103,California
59,1502162042,"Scout, the Film Trailer",successful,Film & Video,Kisha Jarrett / Eric Bryant,Charlottesville,1500,2445,32,30,Yes,296.0,73,1,0.0,38.064289093,-78.48416900630001,Virginia
60,547669990,"INK- a unique, machined fountain/rollerball pen.",successful,Design,KarasKustoms,Mesa,10000,96930,1020,32,No,,241,6,1.0,33.428762435900005,-111.7342910767,Arizona
61,1878988898,Seattle’s Chinatown-International District Parklet,successful,Design,Chinatown-ID Business Improvement Area,Seattle,12000,12126,155,39,No,,1037,1,0.0,47.6120109558,-122.30503845209999,Washington
63,1745779413,Help Launch the A Little Chili Gourmet Food Truck,successful,Food,Sean Jordan,Hollywood,10000,11748,142,31,Yes,1592.0,440,1,80.0,34.0956726074,-118.3318099976,California
64,747799111,"Father, Son, Philanthropist, Star - Paul Walker Documentary",failed,Film & Video,Tara Bohms,Sioux Falls,60000,125,5,30,No,,624,1,0.0,43.5426216125,-96.7381668091,South Dakota
66,74433602,Warship: Vol I:  - A House Church Record,successful,Music,Randall Carrier,Gardner,420,666,16,46,Yes,491.0,0,1,2.0,38.806570053099996,-94.93123626709999,Kansas
67,212448416,Call Me TUCK: The Incredible Life Story of Robert Foster,successful,Film & Video,David Perinchief,Boston,2000,2230,30,60,No,,119,2,2.0,42.3323383331,-71.04561996460001,Massachusetts
69,960614626,Weather War Big Picture 2.0,failed,Film & Video,WeatherWar101,New York,25000,655,6,30,No,,52,1,0.0,40.706577300999996,-73.8823738098,New York
71,706946727,Help Circus Mojo Tour to Germany: Expanding Horizons,successful,Art,paul miller,Ludlow,5000,5429,71,34,Yes,1817.0,527,2,4.0,39.0849056244,-84.5405731201,Kentucky
75,1951899936,LIKE RATS IN A TRAP - A Short Film Based on True Events,successful,Film & Video,G. S. Koch,Charlotte,6700,7777,90,30,Yes,710.0,227,1,4.0,35.2259788513,-80.8269729614,North Carolina
76,892242264,Ezekiel is Recording a New Album! (Finally!),failed,Music,Ezekiel James,St. Louis,750,1,1,15,Yes,48.0,2,1,0.0,38.6356201172,-90.3082389832,Missouri
77,2063976371,Talking Bout You - Music Video (Travis Orlando),failed,Film & Video,Travis Orlando,Orlando,5000,15,1,29,Yes,3015.0,18,1,0.0,28.4906749725,-81.3569107056,Florida
79,296289837,Les Miserables for people of ALL abilities in concert,successful,Theater,Dianna Swenson,Virginia Beach,500,1066,33,22,Yes,479.0,238,1,2.0,36.7958717346,-76.0533065796,Virginia
80,416486796,"CoworkBuffalo 2: More Space, Work, and Community",successful,Design,CoworkBuffalo,Buffalo,3000,5149,107,30,No,,111,1,0.0,42.906599044800004,-78.8306770325,New York
83,535785122,EvoCreo™ - A monster collection RPG,successful,Games,Ebrahim Behbahani,Littleton,1000,3874,405,10,No,,54,3,5.0,39.5846500397,-105.0521354675,Colorado
84,1264517720,Next to Normal at the Player's Ring,successful,Theater,Stoptime Productions,Portsmouth,3000,4787,78,53,Yes,662.0,17,1,5.0,43.056547164899996,-70.75770568850001,New Hampshire
85,1405925172,Get This Kid Out of Here Project,failed,Film & Video,Nikoles Koyama,Santa Maria,20000,7286,35,30,Yes,1439.0,506,1,4.0,34.9373397827,-120.4511833191,California
86,1520415290,The Monopoly Revolution,failed,Film & Video,Martin Lozano,Baton Rouge,1000000,20,2,30,No,,0,1,0.0,30.438614845300002,-91.0993080139,Louisiana
87,767981981,What's That Slang? Board Game,successful,Games,Justin Slaughter,Fayetteville,20000,20240,96,34,Yes,642.0,404,2,3.0,36.050920486500004,-94.19250488280001,Arkansas
89,120934356,"Super Fun Show, with Learning! Episode 2",successful,Film & Video,Lexie Kahanovitz,Manhattan,7500,7833,192,60,Yes,731.0,640,1,6.0,40.7629089355,-73.969039917,New York
90,879026369,Night of the Dead 2,successful,Games,Charles Passen,New Berlin,5000,7495,145,31,No,,167,1,1.0,42.9827213287,-88.1041870117,Wisconsin
91,308375035,Opus Prime Collection,successful,Fashion,Aaron Valenzuela,Los Angeles,5000,5123,56,31,Yes,1180.0,127,2,7.0,34.018239975,-118.39637756350001,California
92,2099255319,KEEPERS OF THE LOST ART - THE LOST ART OF BEING A KID!!,successful,Comics,Cavedweller Productions,Los Angeles,20000,20855,73,30,No,,91,1,2.0,34.018239975,-118.39637756350001,California
93,1169155334,Closed Quarters,successful,Film & Video,Bonnie Sowle,Scottsdale,2000,2160,39,26,Yes,580.0,394,1,2.0,33.661760330199996,-111.87314605709999,Arizona
94,753571295,Picker - Guitar Pick Guardian,failed,Design,Viktor Stakhov,Auburn,6000,889,27,40,Yes,521.0,40,1,2.0,47.307949066199996,-122.2147674561,Washington
95,95451884,Silver Heart Apparel-Empowering Girls with Positive Messages,successful,Fashion,Silver Heart Apparel,Oakland,2500,2920,42,30,Yes,1309.0,180,1,1.0,37.814783096300005,-122.25268554690001,California
96,1624537971,Cutesy crochet Items,failed,Fashion,Geveta Echols,Columbus,1000,35,2,30,Yes,315.0,13,1,0.0,39.9959201813,-82.9749565125,Ohio
97,238978815,Pichurite,failed,Technology,"Lothian Ave, LLC",New York,25000,45,1,60,No,,0,1,0.0,40.706577300999996,-73.8823738098,New York
98,1478956314,The Giggle Farm Support,successful,Publishing,Christopher James McLucas,Omaha,3000,3445,56,24,Yes,267.0,408,1,1.0,41.2783527374,-96.0463943481,Nebraska
99,1379307487,Bite Size Tails,failed,Games,Severed Arts,Arlington,5000,40,4,30,No,,1,2,1.0,38.865322113000005,-77.11133193970001,Virginia
100,1446362562,-SB METAL DESIGN-,failed,Art,Steve Bera,Chicago,6800,51,2,25,Yes,683.0,0,1,0.0,41.8408851624,-87.72951889040002,Illinois
101,912125143,"VERSI Docker Stand for iPad, iPhone, Tablets & Smartphones",successful,Design,Dale Rorabaugh,Healdsburg,3000,9347,109,60,Yes,0.0,0,5,23.0,38.607612609899995,-122.88208007809999,California
102,493611773,Moebius: A short film about the perils of time travel,successful,Film & Video,Jordan Montreuil,Los Angeles,6600,7404,122,30,Yes,193.0,329,1,15.0,34.018239975,-118.39637756350001,California
